feature_name,feature_category,scene
dp_jckx_mart.rmodel3_daily_feats_level2_rpy_bhvr,还款,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_ln_bhvr,借款,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_ovd_bhvr,逾期,贷中
dp_jckx_mart.rmodel_external_score_180d,三方,贷中
dp_jckx_mart.rmodel3_dsorder_daily_feats_rpy_part1,电商还款,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_fq_bhvr1,期数,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_crur_bhvr,额度,贷中
dp_jckx_mart.rmodel3_pboc_rule_score_di_180d,三方,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_fq_bhvr2,借款,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_behavior,行为,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_stl_bhvr,借款,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_cllct,催收,贷中
dp_jckx_mart.rmodel3_eco_user_odr_stat_info_level1,电商首付,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level1_part3,电商消费品类,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level1_part3_2,电商消费品类,贷中
dp_jckx_mart.rmodel3_eco_user_cpn_use_info,电商折扣,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level1_part1,电商消费量,贷中
dp_jckx_mart.rmodel3_eco_user_trn_chr_level1_part2,电商商品聚类,贷中
dp_jckx_mart.rmodel3_eco_user_odr_bhvr_info_level1_part1,电商周末行为,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_fund_bhvr,利率,贷中
dp_jckx_mart.rmodel3_eco_user_cli_bhvr_info_level1,电商点击行为,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level1_part4,电商消费品类,贷中
dp_jckx_mart.rmodel3_eco_user_cli_bhvr_info_level1_part2,电商点击行为,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level1_part2,电商消费品类,贷中
dp_jckx_mart.rmodel3_eco_user_trn_chr_level1,电商商品聚类,贷中
dp_jckx_mart.rmodel3_eco_user_trn_chr_level1_part1_2,电商商品聚类,贷中
dp_jckx_mart.rmodel3_daily_sanfang_huanbi_feats,三方,贷中
dp_jckx_mart.rmodel3_daily_feats_eco_account_v2409,电商账户,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_inln_bhvr,在贷,贷中
dp_jckx_mart.rmodel3_daily_feats_eco_origin_v2409,用户来源,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_rpy_bhvr2,还款减免,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level1_part5,电商商品聚类,贷中
dp_jckx_mart.rmodel3_eco_user_cli_bhvr_info_level2_part1,电商点击行为,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level2_part4,电商消费品类,贷中
dp_jckx_mart.rmodel3_pboc_model_score_180d,三方,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_deduct_bhvr2,代扣,贷中
dp_jckx_mart.rmodel3_eco_user_cli_bhvr_info_level2_part2,电商点击行为,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level1_part6,电商消费量,贷中
dp_jckx_mart.rmodel3_pboc_rule_score_180d,三方,贷中
dp_jckx_mart.rmodel3_eco_user_trn_chr_level1_part3,电商商品聚类,贷中
dp_jckx_mart.rmodel3_eco_user_trn_chr_level1_part4,电商商品聚类,贷中
dp_jckx_mart.dsacard_daily_applist,app衍生特征,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_brrp_itvl,借还间隔,贷中
dp_jckx_mart.rmodel3_eco_user_cons_bhvr_info_level2_part6,电商消费量,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_deduct_bhvr,代扣,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_basic,基础属性,贷中
dp_jckx_mart.rmodel3_eco_user_daily_800credit,电商800额度,贷中
dp_ai_mart.applist_nn_model_score_v1_d,APP模型分,贷中
dp_jckx_mart.contact_memo_nn_model_score_v1_d,通讯录备注文本模型分,贷中
dp_jckx_mart.dsacard_daily_feats_ant_180d,三方分,贷中
dp_jckx_mart.dsacard_daily_feats_dxm_180d,三方分,贷中
dp_jckx_mart.dsacard_daily_feats_tc_180d,三方分,贷中
dp_jckx_mart.dsacard_daily_feats_tx_180d,三方分,贷中
dp_jckx_mart.dsacard_daily_feats_ty132_180d,三方分,贷中
dp_jckx_mart.dsacard_daily_feats_ty180_180d,三方分,贷中
dp_jckx_mart.dsacard_daily_feats_yl_60d,三方分,贷中
dp_jckx_mart.model_cnnlstm_train_0615_m789,贷中序列模型分,贷中
dp_jckx_mart.rmodel_ds_mob6_sequence_sum_model_score,新序列分,贷中
dp_jckx_mart.rmodel_sequence_pdv9_submodel_from_mdl,v2版本行为序列分,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_rdrh_mob6_score,贷中人行模型分mob6,贷中
dp_jckx_mart.rmodel3_daily_feats_level2_rdrh_score,贷中人行模型分mob4,贷中
dp_jckx_mart.rmodel3_eco_rd_mob2_score_user_30d,电商融担人行分日更用户维度(30日),贷中
dp_jckx_mart.rmodel3_eco_sequence_v9_submodel_from_mdl,电商行为序列分,贷中
